Weapon	Very Low	Low	Normal	Critical	Fatal
					
					
ACRID PLASMA CUTTER	@kazanan's ACRID PLASMA CUTTER was impotent. @kaybeden's quick reflexes saved him as he managed to step back just in time, narrowly avoiding the swing. The tip of @kazanan's ACRID PLASMA CUTTER grazed the edge of @kaybeden's Cobot, leaving a small scorch mark on its armor but causing no significant damage.	@kazanan's ACRID PLASMA CUTTER was ineffective. @kaybeden attempted to block the incoming attack with his Cobot's arm, but @kazanan's ACRID PLASMA CUTTER searing edge cut through the armor, leaving a visible gash. Though the wound was not severe, it served as a warning of the weapon's potency.	@kazanan's ACRID PLASMA CUTTER was barely effective. The gigantic plasma sword sliced through a section of @kaybeden's Cobot's armor, causing notable damage and exposing some vital components. The injury hindered the Cobot's performance, making it harder for @kaybeden to retaliate effectively.	@kazanan's ACRID PLASMA CUTTER was effective. The ACRID PLASMA CUTTER connected with @kaybeden's Cobot, cutting deep into its structure. The corrosive properties of the plasma further exacerbated the damage, leaving @kaybeden's Cobot in a critical state.	@kazanan's ACRID PLASMA CUTTER was very effective. The gigantic ACRID PLASMA CUTTER struck @kaybeden's Cobot with unstoppable force, cleaving it in half. The corrosive nature of the plasma caused further destruction, leaving nearly no chance of recovery. @kaybeden's Cobot is in very bad shape.
					
					
EMP PARALYZER	@kazanan's EMP PARALYZER was impotent. The electromagnetic pulse emitted by the weapon was weak and had minimal effect. @kaybeden's Cobot experienced a momentary disruption in some non-essential systems, but it quickly recovered and continued its actions unaffected.	@kazanan's EMP PARALYZER was ineffective. The electromagnetic pulse had limited reach and didn't hit @kaybeden's Cobot directly. Some minor electrical disturbances occurred in the vicinity, causing a brief flicker in the Cobot's lights, but no significant damage was inflicted.	@kazanan's EMP PARALYZER was barely effective. The electromagnetic pulse hit @kaybeden's Cobot, causing momentary disruptions in various systems. It briefly staggered, leaving @kaybeden vulnerable to a follow-up attack, but the Cobot managed to regain control swiftly.	@kazanan's EMP PARALYZER was effective. The well-timed electromagnetic pulse hit @kaybeden's Cobot with precision. The sudden burst of energy disrupted critical systems, leaving the Cobot temporarily immobilized and exposed to further attacks.	@kazanan's EMP PARALYZER was very effective. The EMP pulse emitted by the weapon engulfed @kaybeden's Cobot, overwhelming its electronic defenses. The massive surge of electromagnetic energy caused a catastrophic failure of the Cobot's internal components, rendering it inoperable for the time being.
					
					
NANOBOT SWARM GUIDANCE SYSTEM	@kazanan's NANOBOT SWARM GUIDANCE SYSTEM was impotent. The nanobots released from the system lacked coordination and failed to form a cohesive swarm. They scattered harmlessly around @kaybeden's Cobot, posing no threat, and quickly dissipated.	@kazanan's NANOBOT SWARM GUIDANCE SYSTEM was ineffective. The nanobots attempted to converge into a swarm, but their formation was weak and uncoordinated. They managed to brush against @kaybeden's Cobot, causing some minor scratches, but their impact was negligible.	@kazanan's NANOBOT SWARM GUIDANCE SYSTEM was barely effective. The nanobots formed a partial swarm and swirled around @kaybeden's Cobot. Their microscopic attacks created small punctures in the Cobot's armor, inflicting some damage but not enough to hinder its performance.	@kazanan's NANOBOT SWARM GUIDANCE SYSTEM was effective. The nanobots coordinated successfully, forming a concentrated swarm that surrounded @kaybeden's Cobot. Their microscopic assaults penetrated the armor and disrupted vital components, causing significant damage and weakening the Cobot.	@kazanan's NANOBOT SWARM GUIDANCE SYSTEM was very effective. The nanobots acted as an unstoppable swarm, completely engulfing @kaybeden's Cobot. Their relentless attacks dismantled the Cobot from within, leaving it inoperable and beyond repair for the foreseeable future.
					
					
NUCLEAR WARHEAD	@kazanan's NUCLEAR WARHEAD was impotent. Due to a technical glitch, the nuclear warhead failed to detonate as intended. The missile carrying the warhead harmlessly veered off-course, detonating harmlessly in a remote location far from @kaybeden's Cobot.	@kazanan's NUCLEAR WARHEAD was ineffective. The nuclear warhead detonated, but the blast was mitigated by @kaybeden's Cobot's advanced shielding and defensive capabilities. The explosion caused some superficial damage to the outer armor, leaving scorch marks, but it was far from a critical hit.	@kazanan's NUCLEAR WARHEAD was barely effective. The nuclear warhead detonated with significant force, enveloping @kaybeden's Cobot in the blast radius. The Cobot's shielding managed to absorb most of the radiation and heat, but some internal systems suffered damage, impacting its overall performance.	@kazanan's NUCLEAR WARHEAD was effective. The nuclear warhead detonated as intended, releasing a devastating explosion that engulfed @kaybeden's Cobot. The shielding could only offer partial protection, resulting in severe damage to the Cobot's structure and systems.	@kazanan's NUCLEAR WARHEAD was very effective. The nuclear warhead's detonation was cataclysmic, consuming @kaybeden's Cobot in an all-encompassing inferno. The sheer power of the explosion overwhelmed all defenses, leaving a huge crater where @kaybeden's Cobot lies still.
					
					
REALITY WARPER	@kazanan's REALITY WARPER was impotent. The attempt to manipulate reality had minimal effect, and @kaybeden's Cobot remained unaffected. It seemed that @kazanan's control over reality was fleeting, and the manipulation lacked the necessary strength to cause any notable changes.	@kazanan's REALITY WARPER was ineffective. The reality warping powers were unstable and inconsistent. A faint distortion in the surroundings occurred, but it had no substantial impact on @kaybeden's Cobot. It appeared that @kazanan's grasp on reality was still uncertain.	@kazanan's REALITY WARPER was barely effective. The reality warping powers managed to create minor distortions in space and time. A momentary disruption occurred, causing some confusion for @kaybeden's Cobot, but it quickly adapted and regained its bearings.	@kazanan's REALITY WARPER was effective. The reality warping powers materialized significant alterations in the battlefield. Spatial anomalies and temporal shifts disoriented @kaybeden's Cobot, making it challenging to respond effectively to further attacks.	@kazanan's REALITY WARPER was very effective. The reality warping powers were fully harnessed, reshaping the battlefield to @kaybeden's disadvantage. @kaybeden's Cobot found itself trapped in a nightmarish reality, facing impossible odds and insurmountable obstacles. The overwhelming changes proved fatal.
					
					
SUPER DUPER PLANET BLOWER	@kazanan's SUPER DUPER PLANET BLOWER was impotent. Due to an unexpected energy fluctuation, the weapon's firing sequence aborted, and the colossal cannon emitted a low hum before powering down. @kaybeden's Cobot remained untouched, and the environment around them showed no signs of significant damage.	@kazanan's SUPER DUPER PLANET BLOWER was ineffective. The weapon fired, but a partial shielding mechanism on @kaybeden's Cobot managed to deflect a significant portion of the energy projectile. While the impact caused localized destruction, it was not enough to pose a severe threat to @kaybeden's Cobot or the immediate surroundings.	@kazanan's SUPER DUPER PLANET BLOWER was barely effective. The weapon's immense energy projectile struck @kaybeden's Cobot with significant force, causing widespread devastation to its armor and systems. The attack created shockwaves that reverberated across the area, leaving it visibly scarred.	@kazanan's SUPER DUPER PLANET BLOWER was effective. The colossal energy projectile hit @kaybeden's Cobot head-on, obliterating its defenses and causing catastrophic damage. The impact created a massive explosion, leaving the area in turmoil and drastically altering its landscape.	@kazanan's SUPER DUPER PLANET BLOWER was very effective. The weapon's overwhelming power was fully unleashed, unleashing an energy cataclysm of astronomical proportions. The energy projectile collided with @kaybeden's Cobot and the surroundings, leading to a disastrous outcome with irreversible consequences.
